[01/07/2026 10:36:12] Backend porta 8000: PID 25064 encerrado.
[01/07/2026 10:36:13] Backend encerrado.
[01/07/2026 10:36:15] Script iniciado. Acao=
[01/07/2026 10:36:17] Inicio solicitado.
[01/07/2026 10:36:21] Frontend ja estava parado.
[01/07/2026 10:36:21] Backend ja estava parado.
[01/07/2026 10:36:21] Iniciando backend.
[01/07/2026 10:36:25] Backend iniciado com PID 52720.
[01/07/2026 10:36:25] Iniciando frontend.
[01/07/2026 10:36:26] Gerando build do frontend para runtime estavel.
[01/07/2026 10:36:27] Build do frontend concluido.
[01/07/2026 10:36:29] Frontend iniciado com PID 30880.
[01/07/2026 10:40:28] Script iniciado. Acao=
[01/07/2026 10:40:30] Encerramento solicitado.
[01/07/2026 10:40:34] Frontend: PID 30880  encerrado.
[01/07/2026 10:40:37] Frontend porta 3500: PID 30880 encerrado.
[01/07/2026 10:40:38] Frontend encerrado.
[01/07/2026 10:40:41] Backend: PID 52720  encerrado.
[01/07/2026 10:40:43] Backend porta 8000: PID 52720 encerrado.
[01/07/2026 10:40:44] Backend encerrado.
[01/07/2026 10:41:01] Script iniciado. Acao=
[01/07/2026 10:41:09] Inicio solicitado.
[01/07/2026 10:41:13] Frontend ja estava parado.
[01/07/2026 10:41:14] Backend ja estava parado.
[01/07/2026 10:41:14] Iniciando backend.
[01/07/2026 10:41:17] Backend iniciado com PID 51624.
[01/07/2026 10:41:17] Iniciando frontend.
[01/07/2026 10:41:17] Gerando build do frontend para runtime estavel.
[01/07/2026 10:41:19] Build do frontend concluido.
[01/07/2026 10:41:21] Frontend iniciado com PID 52908.
[01/07/2026 16:18:09] Script iniciado. Acao=
[01/07/2026 16:18:12] Encerramento solicitado.
[01/07/2026 16:18:16] Frontend: PID 52908  encerrado.
[01/07/2026 16:18:18] Frontend porta 3500: PID 52908 encerrado.
[01/07/2026 16:18:19] Frontend encerrado.
[01/07/2026 16:18:22] Backend: PID 51624  encerrado.
[01/07/2026 16:18:24] Backend porta 8000: PID 51624 encerrado.
[01/07/2026 16:18:25] Backend encerrado.
[01/07/2026 16:19:05] Script iniciado. Acao=
[01/07/2026 16:19:07] Inicio solicitado.
[01/07/2026 16:19:14] Frontend ja estava parado.
[01/07/2026 16:19:14] Backend ja estava parado.
[01/07/2026 16:19:14] Iniciando backend.
[01/07/2026 16:19:18] Backend iniciado com PID 25548.
[01/07/2026 16:19:18] Iniciando frontend.
[01/07/2026 16:19:19] Gerando build do frontend para runtime estavel.
[01/07/2026 16:19:20] Build do frontend concluido.
[01/07/2026 16:19:22] Frontend iniciado com PID 29072.
